# Ensemble size: 50, Steps: 10000, Burn in steps: 0, Samples: 100
# L = 8, Lz = 4, T = 2.000, Jz = 0.5000
step,H,H^2
0,-1.600000,757.160000,
100,-222.480000,49839.480000,
200,-254.680000,65495.800000,
300,-265.280000,71013.240000,
400,-280.440000,79217.720000,
500,-289.600000,84459.800000,
600,-289.520000,84531.320000,
700,-299.360000,90282.840000,
800,-304.680000,93795.960000,
900,-313.240000,99060.760000,
1000,-308.720000,96201.800000,
1100,-316.520000,101143.560000,
1200,-318.560000,102634.760000,
1300,-321.960000,104695.320000,
1400,-328.240000,108769.720000,
1500,-327.200000,108350.520000,
1600,-331.280000,111095.640000,
1700,-331.960000,111426.040000,
1800,-337.200000,115096.760000,
1900,-339.080000,116105.160000,
2000,-344.200000,119430.520000,
2100,-342.080000,117997.880000,
2200,-345.080000,120124.760000,
2300,-348.640000,122670.760000,
2400,-348.040000,122051.560000,
2500,-347.240000,121403.800000,
2600,-347.120000,121630.760000,
2700,-356.680000,128522.280000,
2800,-357.200000,128987.240000,
2900,-358.560000,129934.840000,
3000,-361.360000,131688.520000,
3100,-362.520000,132556.440000,
3200,-364.880000,134334.280000,
3300,-367.720000,136568.200000,
3400,-365.760000,134870.920000,
3500,-370.720000,138759.400000,
3600,-362.040000,132495.080000,
3700,-370.520000,138601.720000,
3800,-366.240000,135332.360000,
3900,-372.480000,139679.880000,
4000,-371.520000,138718.040000,
4100,-368.880000,136927.160000,
4200,-373.520000,140248.680000,
4300,-371.400000,138419.080000,
4400,-370.160000,138012.920000,
4500,-367.760000,136174.120000,
4600,-375.600000,141995.240000,
4700,-377.840000,143539.960000,
4800,-381.760000,146478.040000,
4900,-375.160000,141446.120000,
5000,-376.200000,142435.800000,
5100,-376.800000,142887.160000,
5200,-379.760000,144694.040000,
5300,-384.840000,148750.120000,
5400,-384.400000,148530.120000,
5500,-377.920000,143481.560000,
5600,-377.960000,143578.280000,
5700,-379.560000,144732.920000,
5800,-376.680000,142388.360000,
5900,-374.800000,141035.400000,
6000,-380.560000,145296.600000,
6100,-381.680000,146148.760000,
6200,-382.280000,146759.240000,
6300,-376.560000,142467.320000,
6400,-380.600000,145705.400000,
6500,-380.560000,145666.680000,
6600,-386.240000,149931.320000,
6700,-384.000000,148117.480000,
6800,-382.400000,146943.080000,
6900,-382.040000,146611.640000,
7000,-382.280000,146767.960000,
7100,-383.240000,147465.080000,
7200,-383.600000,147698.280000,
7300,-384.280000,148298.760000,
7400,-384.160000,148212.680000,
7500,-379.320000,144691.000000,
7600,-384.440000,148388.840000,
7700,-384.320000,148439.640000,
7800,-381.640000,146349.400000,
7900,-380.720000,145572.680000,
8000,-382.920000,147429.160000,
8100,-379.080000,144587.560000,
8200,-380.680000,145766.440000,
8300,-380.320000,145341.080000,
8400,-377.280000,143068.280000,
8500,-377.640000,143423.640000,
8600,-377.680000,143317.240000,
8700,-381.720000,146221.080000,
8800,-375.520000,141781.480000,
8900,-378.720000,144066.200000,
9000,-379.440000,144446.840000,
9100,-379.920000,144880.200000,
9200,-375.200000,141473.400000,
9300,-378.480000,143876.360000,
9400,-375.440000,141635.320000,
9500,-380.080000,144946.840000,
9600,-376.960000,142676.760000,
9700,-377.160000,142859.080000,
9800,-377.040000,142722.040000,
9900,-380.520000,145512.680000,
